timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
644103617,644102233,46.94753652185391,8.712562722796969,1498.3269,1545.709,0.0,0.71873975,2.3182652,1498.2258,2,92,1,0
644113779,644112227,46.947536521472244,8.712562723393729,1498.3269,1545.709,0.0,0.71892345,2.318288,1498.226,2,93,1,0
644303889,644302099,46.94753651566589,8.712562727483109,1498.326,1545.7075,0.0,0.7178499,2.318211,1498.225,2,112,1,0
644503797,644501969,46.947536513204426,8.712562745498968,1498.3252,1545.7062,0.0,0.718343,2.3183432,1498.2246,2,132,1,0
644703565,644701831,46.94753652494578,8.712562738758711,1498.324,1545.7046,0.0,0.7187634,2.318473,1498.225,2,152,1,0
644903449,644901697,46.94753654438035,8.712562725315896,1498.324,1545.7041,0.0,0.71912354,2.3186004,1498.2239,2,172,1,0
645103346,645101563,46.9475365522751,8.712562713380699,1498.3214,1545.7008,0.0,0.71942693,2.3187227,1498.2181,2,192,1,0
645302886,645301429,46.94753656021275,8.712562719750311,1498.3175,1545.6963,0.0,0.71969306,2.3188403,1498.2146,2,212,1,0
645503072,645501295,46.94753657509315,8.71256273193047,1498.3125,1545.6906,0.0,0.71989757,2.3189485,1498.2095,2,231,1,0
645702863,645701162,46.947536592224914,8.712562739135537,1498.3076,1545.6848,0.0,0.72006255,2.3190486,1498.2058,2,251,1,0
645902898,645901027,46.94753660474676,8.712562750693811,1498.3018,1545.6777,0.0,0.7201941,2.3191397,1498.1989,2,15,1,0
646102903,646100893,46.94753661836211,8.71256275340748,1498.295,1545.6693,0.0,0.72029674,2.319222,1498.191,2,35,1,0
646302511,646300759,46.94753663627005,8.71256276043666,1498.2853,1545.6577,0.0,0.7203882,2.319297,1498.177,2,55,1,0
646502095,646500634,46.947536662411544,8.712562799615462,1498.2722,1545.6437,0.0,0.7223657,2.3196938,1498.1678,2,75,1,0
646702224,646700492,46.947536698832096,8.71256284495658,1498.2567,1545.6249,0.0,0.7204728,2.3194165,1498.1472,2,95,1,0
646902132,646900358,46.947536735732946,8.712562909796027,1498.2391,1545.6051,0.0,0.72050136,2.3194656,1498.1293,2,115,1,0
647102083,647100224,46.94753677161748,8.712562977154432,1498.2195,1545.5831,0.0,0.7205186,2.3195078,1498.1122,2,135,1,0
647301892,647300090,46.94753680680729,8.712563043771596,1498.2008,1545.5621,0.0,0.72052693,2.3195436,1498.0981,2,155,1,0
647501523,647499956,46.947536844025485,8.712563108943975,1498.1831,1545.5432,0.0,0.7223938,2.3199296,1498.0859,2,175,1,0
647701676,647699822,46.947536870612964,8.712563174939262,1498.1647,1545.5211,0.0,0.7205124,2.3195972,1498.0645,2,195,1,0
647901551,647899689,46.94753690648036,8.712563251092018,1498.1455,1545.4995,0.0,0.720505,2.319618,1498.0424,2,215,1,0
648100883,648099555,46.94753693383117,8.71256332436149,1498.1251,1545.4779,0.0,0.72232294,2.3199973,1498.0305,2,235,1,0
648301307,648299421,46.94753695100584,8.712563392059126,1498.1039,1545.4529,0.0,0.7204697,2.3196473,1498.0034,2,255,1,0
648500595,648499288,46.94753696834348,8.712563469311194,1498.0812,1545.429,0.0,0.72226095,2.320022,1497.986,2,19,1,0
648700894,648699154,46.947536988082554,8.712563546877345,1498.0571,1545.4011,0.0,0.7204293,2.319665,1497.9567,2,39,1,0
648900314,648899020,46.947537011792605,8.71256362759061,1498.0317,1545.3734,0.0,0.720426,2.3196738,1497.9348,2,59,1,0
649100721,649098887,46.94753703953795,8.712563710156969,1498.0082,1545.3474,0.0,0.72040874,2.3196788,1497.9121,2,79,1,0
649300463,649298753,46.94753706045631,8.712563782239211,1497.9839,1545.3208,0.0,0.72039104,2.3196824,1497.8888,2,99,1,0
649500048,649498620,46.947537081653415,8.7125638535174,1497.96,1545.2958,0.0,0.7221349,2.3200505,1497.871,2,119,1,0
649700433,649698488,46.94753709887097,8.712563923369652,1497.9371,1545.2698,0.0,0.720345,2.319685,1497.8448,2,139,1,0
649900157,649898353,46.94753712124735,8.712563992179138,1497.9135,1545.2439,0.0,0.72032857,2.3196862,1497.8177,2,159,1,0
650099800,650098222,46.947537143572276,8.712564065473742,1497.8865,1545.2158,0.0,0.7220497,2.3200521,1497.7957,2,179,1,0
650309504,650308078,46.94753716558845,8.712564133284443,1497.859,1545.1854,0.0,0.7204489,2.3197217,1497.7682,2,200,1,0
650509649,650507945,46.9475371895515,8.712564191264315,1497.8346,1545.159,0.0,0.7204225,2.31972,1497.7456,2,220,1,0
650699723,650697818,46.94753721250679,8.712564238690966,1497.8118,1545.1345,0.0,0.72023726,2.3196816,1497.7208,2,239,1,0
650899629,650897685,46.9475372398919,8.71256429498106,1497.787,1545.1079,0.0,0.7202152,2.31968,1497.6991,2,3,1,0
651099048,651097551,46.9475372612648,8.712564334279222,1497.7631,1545.0831,0.0,0.72190464,2.3200438,1497.6779,2,23,1,0
651299314,651297418,46.94753729004362,8.712564403622645,1497.7396,1545.0573,0.0,0.72018486,2.3196783,1497.6504,2,43,1,0
651499150,651497284,46.94753728394139,8.712564443567848,1497.7214,1545.0382,0.0,0.7218661,2.3200421,1497.6335,2,63,1,0
651708543,651707144,46.947537059989074,8.712564134076052,1497.6986,1545.0126,0.0,0.72031677,2.3197134,1497.6106,2,84,1,0
651908504,651907011,46.947536781836845,8.71256365027401,1497.6885,1545.0004,0.0,0.72030836,2.319714,1497.596,2,104,1,0
652108779,652106877,46.94753659245247,8.712563280685359,1497.6854,1544.9951,0.0,0.7202911,2.3197129,1497.5948,2,124,1,0
652308043,652306744,46.94753653440167,8.712563104138837,1497.6794,1544.9869,0.0,0.72028536,2.3197138,1497.5859,2,144,1,0
652508516,652506611,46.947536618945485,8.712563079872618,1497.6731,1544.9783,0.0,0.7202673,2.3197129,1497.5793,2,164,1,0
652698261,652696484,46.94753682203081,8.712563159253966,1497.6736,1544.9763,0.0,0.72009385,2.3196816,1497.5785,2,181,1,0
